fold_index,train_rows,test_rows,log_loss,accuracy,test_start_date,test_end_date
65,2000,300,1.0664372502361803,0.44666666666666666,2024-04-27,2024-05-10
66,2000,300,1.0624756199911607,0.44333333333333336,2024-05-10,2024-05-26
67,2000,300,1.091772128745189,0.42,2024-05-26,2024-08-20
68,2000,300,1.0950011421082968,0.44,2024-08-20,2024-08-31
69,2000,300,1.0810758855644922,0.4266666666666667,2024-08-31,2024-09-15
70,2000,300,1.0733150493922297,0.43333333333333335,2024-09-15,2024-09-28
71,2000,300,1.0562689378389616,0.4766666666666667,2024-09-28,2024-10-05
72,2000,300,1.0933228012683236,0.4,2024-10-05,2024-10-22
73,2000,300,1.0672671605586717,0.45,2024-10-22,2024-11-02
74,2000,300,1.0616780099974112,0.4633333333333333,2024-11-02,2024-11-10
75,2000,300,1.0848678697053775,0.4266666666666667,2024-11-10,2024-11-30
76,2000,300,1.0670022626239732,0.4666666666666667,2024-11-30,2024-12-08
77,2000,300,1.0656710919994965,0.4666666666666667,2024-12-09,2024-12-21
78,2000,300,1.070905878670677,0.44333333333333336,2024-12-21,2025-01-01
79,2000,300,1.113354003508748,0.36333333333333334,2025-01-01,2025-01-18
80,2000,300,1.074786158471405,0.43666666666666665,2025-01-18,2025-01-26
81,2000,300,1.0707974387611556,0.44333333333333336,2025-01-26,2025-02-08
82,2000,300,1.0757145231410048,0.44,2025-02-08,2025-02-16
83,2000,300,1.076002289631685,0.42,2025-02-16,2025-03-01
84,2000,300,1.0703198963937128,0.44666666666666666,2025-03-01,2025-03-08
85,2000,300,1.081253232969848,0.4066666666666667,2025-03-08,2025-03-22
86,2000,300,1.0469644223350805,0.5033333333333333,2025-03-22,2025-04-05
87,2000,300,1.080724094788909,0.39666666666666667,2025-04-05,2025-04-13
88,2000,300,1.0831830217805078,0.42,2025-04-13,2025-04-25
89,2000,300,1.068974392719464,0.44,2025-04-25,2025-05-04
90,2000,300,1.0632274872812424,0.44333333333333336,2025-05-04,2025-05-18
91,2000,300,1.059135495810146,0.4666666666666667,2025-05-18,2025-08-16
92,2000,300,1.0836723211007928,0.4166666666666667,2025-08-16,2025-08-30
93,2000,300,1.084946532565671,0.41,2025-08-30,2025-09-13
94,2000,300,1.0923641904066785,0.39,2025-09-13,2025-09-23
95,2000,300,1.1118324658060628,0.34,2025-09-23,2025-10-04
96,2000,300,1.0745048220923863,0.44666666666666666,2025-10-04,2025-10-18
97,2000,300,1.0731564113184613,0.44666666666666666,2025-10-18,2025-10-29
98,2000,300,1.058474604228974,0.4866666666666667,2025-10-29,2025-11-08
99,2000,300,1.0796402818308537,0.4166666666666667,2025-11-08,2025-11-25
100,2000,300,1.0618683609136421,0.4533333333333333,2025-11-25,2025-12-07
101,2000,300,1.0915470887516865,0.39666666666666667,2025-12-07,2025-12-20
102,2000,300,1.0772322822380196,0.42333333333333334,2025-12-20,2025-12-30
103,2000,300,1.0842471832912108,0.42333333333333334,2025-12-30,2026-01-17
104,2000,300,1.0660056993503193,0.44333333333333336,2026-01-17,2026-01-25
105,2000,300,1.0773507647371074,0.42333333333333334,2026-01-25,2026-02-07
106,2000,300,1.0654273261991865,0.44333333333333336,2026-02-07,2026-02-15
107,2000,300,1.072692760966418,0.45666666666666667,2026-02-15,2026-02-25
